Kepler-27 b,Not A Binary,,0.364521,15.33,0.118,,532.4,,Kepler-27,991.22,0.65,0.59,5400,,Confirmed planets
Kepler-27 c,Not A Binary,,0.44653,31.33,0.191,,418.5,,Kepler-27,991.22,0.65,0.59,5400,,Confirmed planets
Kepler-100 c,Not A Binary,,0.200487,12.8159,0.11,0.02,,,Kepler-100,296.6,1.08,1.49,5825,6.46,Confirmed planets
Kepler-100 b,Not A Binary,0.0231,0.120292,6.88705,0.0727,0.13,,,Kepler-100,296.6,1.08,1.49,5825,6.46,Confirmed planets
Kepler-100 d,Not A Binary,,0.14672,35.3331,0.216,,,,Kepler-100,296.6,1.08,1.49,5825,6.46,Confirmed planets
Kepler-536 b,Not A Binary,,0.277,1.8270823,,,,,Kepler-536,,0.92,0.89,5524,,Confirmed planets
HD 216435 b,Not A Binary,1.26,,1311,2.56,0.07,224.7,,HD 216435,33.3,1.3,2,5767,,Confirmed planets
Kepler-1378 b,Not A Binary,,0.196,11.95398936,,,,,Kepler-1378,,0.7,0.67,4407,,Confirmed planets
Kepler-1365 b,Not A Binary,,0.082,7.69993485,,,,,Kepler-1365,,1,1.05,5770,,Confirmed planets
Kepler-1365 c,Not A Binary,,0.071,4.77468005,,,,,Kepler-1365,,1,1.05,5770,,Confirmed planets
Kepler-888 b,Not A Binary,,0.157,70.6979061,,,,,Kepler-888,,0.97,0.9,5875,,Confirmed planets
Kepler-68 b,S-type Binary,0.026,0.206,5.398763,0.0617,0.02,1280,,Kepler-68,135,1.079,1.243,5793,6.3,"Confirmed planets, Planets in binary systems, S-type"
Kepler-68 c,S-type Binary,0.015,0.085,9.605085,0.09059,,,,Kepler-68,135,1.079,1.243,5793,6.3,"Confirmed planets, Planets in binary systems, S-type"
Kepler-68 d,S-type Binary,0.947,,580,1.4,0.18,,,Kepler-68,135,1.079,1.243,5793,6.3,"Confirmed planets, Planets in binary systems, S-type"
Kepler-672 b,Not A Binary,,0.223,38.3774623,,,,,Kepler-672,,0.95,0.92,5627,,Confirmed planets
KOI-1194 b,Not A Binary,,0.108,4.176,0.0446,,,,KOI-1194,,0.674,0.643,4523,,Confirmed planets
KOI-1194 c,Not A Binary,,0.234,8.708,0.0727,,,,KOI-1194,,0.674,0.643,4523,,Confirmed planets
KOI-1194.02,Not A Binary,,0.184,14.8622932,0.1038,,,,KOI-1194,,0.674,0.643,4523,,Kepler Objects of Interest
Kepler-1293 b,Not A Binary,,0.087,5.57654784,,,,,Kepler-1293,,1.18,1.28,6241,,Confirmed planets
HD 11506 b,Not A Binary,4.21,,1627.5,2.708,0.37,200.7,,HD 11506,51.7,1.19,1.33,6058,,Confirmed planets
HD 11506 c,Not A Binary,0.36,,223.6,0.721,0.24,388,,HD 11506,51.7,1.19,1.33,6058,,Confirmed planets
Kepler-230 b,Not A Binary,,0.38822,32.625555,,,,,Kepler-230,894.5,0.918,0.817,5588,,Confirmed planets
Kepler-230 c,Not A Binary,,0.18591,91.773242,,,,,Kepler-230,894.5,0.918,0.817,5588,,Confirmed planets
2M 0746+20 b,Not A Binary,30,0.97,4640,2.897,0.487,,,2M 0746+20,12.21,0.12,0.089,2205,,Confirmed planets
HD 102272 b,Not A Binary,5.9,,127.58,0.614,0.05,877.6,,HD 102272,360,1.9,10.1,4908,,Confirmed planets
HD 102272 c,Not A Binary,2.6,,520,1.57,0.68,530.8,,HD 102272,360,1.9,10.1,4908,,Confirmed planets
Kepler-322 c,Not A Binary,,0.15219,4.337234,,,,,Kepler-322,443.29,0.9,0.89,5388,,Confirmed planets
Kepler-322 b,Not A Binary,,0.09204,1.653888,,,,,Kepler-322,443.29,0.9,0.89,5388,,Confirmed planets
Kepler-1488 b,Not A Binary,,0.166,39.8189932,,,,,Kepler-1488,,1.05,1.31,5820,,Confirmed planets
Kepler-195 b,Not A Binary,,0.18499,8.307872,,,,,Kepler-195,681.77,0.843,0.775,5329,,Confirmed planets
Kepler-195 c,Not A Binary,,0.14125,34.096863,,,,,Kepler-195,681.77,0.843,0.775,5329,,Confirmed planets
Kepler-1425 b,Not A Binary,,0.084,14.4541302,,,,,Kepler-1425,,0.97,0.95,5718,,Confirmed planets
Kepler-1408 b,Not A Binary,,0.079,2.99793191,,,,,Kepler-1408,,1.21,1.35,6170,,Confirmed planets
Kepler-955 b,Not A Binary,,0.279,14.53244172,,,,,Kepler-955,,0.89,0.84,5350,,Confirmed planets
Gliese 328 b,Not A Binary,2.3,,4100,4.5,0.37,,,Gliese 328,19.8,0.69,,3900,,Confirmed planets
Kepler-224 c,Not A Binary,,0.28433,5.925003,,,,,Kepler-224,773.13,0.825,0.676,5018,,Confirmed planets
Kepler-224 d,Not A Binary,,0.2096,11.349393,,,,,Kepler-224,773.13,0.825,0.676,5018,,Confirmed planets
Kepler-224 b,Not A Binary,,0.12667,3.132924,,,,,Kepler-224,773.13,0.825,0.676,5018,,Confirmed planets
Kepler-224 e,Not A Binary,,0.17953,18.643577,,,,,Kepler-224,773.13,0.825,0.676,5018,,Confirmed planets
Kepler-1166 b,Not A Binary,,0.151,33.2406882,,,,,Kepler-1166,,0.9,0.86,5446,,Confirmed planets
MOA-2011-BLG-262Lb,Not A Binary,0.057,,,,,,,MOA-2011-BLG-262L,7000,0.12,,,,Confirmed planets
Kepler-1540 b,Not A Binary,,0.222,125.4131177,,,,,Kepler-1540,,0.74,0.69,4540,,Confirmed planets
Kepler-992 b,Not A Binary,,0.145,20.16034462,,,,,Kepler-992,,0.8,0.74,4944,,Confirmed planets
Kepler-1265 b,Not A Binary,,0.12,6.49441289,,,,,Kepler-1265,,0.71,0.69,4630,,Confirmed planets
HAT-P-44 b,Not A Binary,0.392,1.28,,0.0507,0.072,1126,,HAT-P-44,374,0.939,0.979,5295,8.9,Confirmed planets
HAT-P-44 c,Not A Binary,1.6,,219.9,0.699,,,,HAT-P-44,374,0.939,0.979,5295,8.9,Confirmed planets
Kepler-538 b,Not A Binary,,0.202,81.73780699,,,,,Kepler-538,,0.96,0.9,5650,,Confirmed planets
Kepler-235 b,Not A Binary,,0.20322,3.340222,,,,,Kepler-235,525.48,0.581,0.554,4255,,Confirmed planets
Kepler-235 d,Not A Binary,,0.18682,20.060548,,,,,Kepler-235,525.48,0.581,0.554,4255,,Confirmed planets
Kepler-235 e,Not A Binary,,0.20231,46.183669,,,,,Kepler-235,525.48,0.581,0.554,4255,,Confirmed planets
Kepler-235 c,Not A Binary,,0.11665,7.824904,,,,,Kepler-235,525.48,0.581,0.554,4255,,Confirmed planets
Kepler-1083 b,Not A Binary,,0.3,33.4177993,,,,,Kepler-1083,,0.81,0.77,5049,,Confirmed planets
Kepler-1218 b,Not A Binary,,0.128,22.9221266,,,,,Kepler-1218,,1.06,1.1,5986,,Confirmed planets
HATS-8 b,Not A Binary,0.138,0.873,3.583893,0.04667,,1324,,HATS-8,829,1.056,1.086,5679,5.1,Confirmed planets
Kepler-878 b,Not A Binary,,0.172,25.9422033,,,,,Kepler-878,,0.81,0.77,5044,,Confirmed planets
HD 147018 b,Not A Binary,2.12,,44.236,0.2388,0.4686,481.2,,HD 147018,42.96,0.927,,5441,,Confirmed planets
HD 147018 c,Not A Binary,6.56,,1008,1.922,0.133,171.9,,HD 147018,42.96,0.927,,5441,,Confirmed planets
HD 4308 b,Not A Binary,0.0405,,15.609,0.118,0.27,685.9,,HD 4308,21.9,0.85,0.92,5597,,Confirmed planets
Kepler-1204 b,Not A Binary,,0.272,85.7350285,,,,,Kepler-1204,,1.03,1.03,5825,,Confirmed planets
Kepler-760 b,Not A Binary,,0.273,8.70419416,,,,,Kepler-760,,0.89,0.85,5322,,Confirmed planets
Kepler-760 c,Not A Binary,,0.132,2.46697439,,,,,Kepler-760,,0.89,0.85,5322,,Confirmed planets
Kepler-97 b,Not A Binary,0.011041,0.134873,2.58664,,,,,Kepler-97,414.4,0.94,0.98,5779,8.42,Confirmed planets
Kepler-97 c,Not A Binary,,,,,,,,Kepler-97,414.4,0.94,0.98,5779,8.42,Confirmed planets
Kepler-1196 b,Not A Binary,,0.199,66.1849031,,,,,Kepler-1196,,0.98,0.97,5756,,Confirmed planets
HIP 12961 b,Not A Binary,0.35,,57.435,0.13,0.16,393,,HIP 12961,23,0.67,,3840,,Confirmed planets
Kepler-112 b,Not A Binary,,0.21507,8.408878,,,,,Kepler-112,495.55,0.946,0.841,5544,,Confirmed planets
Kepler-112 c,Not A Binary,,0.21871,28.574263,,,,,Kepler-112,495.55,0.946,0.841,5544,,Confirmed planets
Kepler-497 b,Not A Binary,,0.539,3.57320367,,,,,Kepler-497,,1.09,1.11,5834,,Confirmed planets
HD 65216 b,Not A Binary,1.21,,613.1,1.37,0.41,193.9,,HD 65216,34.3,0.92,,5666,,Confirmed planets
HD 65216 c,Not A Binary,2.24,,5542,,0.15,,,HD 65216,34.3,0.92,,5666,,Confirmed planets
Gliese 179 b,Not A Binary,0.82,,2288,2.41,0.21,,,Gliese 179,12.29,0.357,0.38,3370,,Confirmed planets
Kepler-1119 b,Not A Binary,,0.171,8.3265153,,,,,Kepler-1119,,1.11,1.17,6083,,Confirmed planets
Kepler-486 b,Not A Binary,,0.981,30.36044667,,,,,Kepler-486,,0.79,0.75,4926,,Confirmed planets
Kepler-236 c,Not A Binary,,0.18226,23.968127,,,,,Kepler-236,293.01,0.549,0.51,3750,,Confirmed planets
Kepler-236 b,Not A Binary,,0.14307,8.295611,,,,,Kepler-236,293.01,0.549,0.51,3750,,Confirmed planets
Kappa And b,Not A Binary,50,,,,,2040,,Kappa Andromedae,51.6,2.8,2.29,11361,0.22,Controversial
Kepler-1295 b,Not A Binary,,0.138,3.81371974,,,,,Kepler-1295,,0.92,0.89,5486,,Confirmed planets
Kepler-26 b,Not A Binary,0.016097,0.26792,12.282972,,,,,Kepler-26,482.39,0.634,0.571,4486,,Confirmed planets
Kepler-26 c,Not A Binary,0.019492,0.26792,17.251204,,,,,Kepler-26,482.39,0.634,0.571,4486,,Confirmed planets
Kepler-26 d,Not A Binary,,0.09751,3.543919,,,,,Kepler-26,482.39,0.634,0.571,4486,,Confirmed planets
Kepler-26 e,Not A Binary,,0.21962,46.827915,,,,,Kepler-26,482.39,0.634,0.571,4486,,Confirmed planets
Kepler-1260 b,Not A Binary,,0.158,19.1187753,,,,,Kepler-1260,,1.06,1.08,5961,,Confirmed planets
Kepler-1314 b,Not A Binary,,0.456,5.42474928,,,,,Kepler-1314,,0.6,0.59,4188,,Confirmed planets
Kepler-1184 b,Not A Binary,,0.239,53.5991044,,,,,Kepler-1184,,1.05,1.07,5983,,Confirmed planets
Kepler-1552 b,Not A Binary,,0.22,184.771853,,,,,Kepler-1552,,0.85,0.78,5202,,Confirmed planets
Kepler-1279 b,Not A Binary,,0.156,23.4774101,,,,,Kepler-1279,,1.21,1.33,6221,,Confirmed planets
